Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
HDFC,EQ,8-May-19,1966.3,1964.5,1964.5,1925.05,1930.1,1930.75,1941.55
HDFC,EQ,9-May-19,1930.75,1926,1931.6,1901.3,1914.15,1914.6,1918.15
HDFC,EQ,10-May-19,1914.6,1915.25,1956,1910.75,1926.8,1931.7,1936.05
HDFC,EQ,13-May-19,1931.7,1926.1,1984.4,1917.85,1957,1952.9,1958.85
HDFC,EQ,14-May-19,1952.9,1961,1989.8,1924.25,1964.2,1965.2,1951.75
HDFC,EQ,15-May-19,1965.2,1975,1979.95,1937.5,1939.5,1944.95,1961.65
HDFC,EQ,16-May-19,1944.95,1954,1954,1923.3,1945.1,1942.1,1935.38
HDFC,EQ,17-May-19,1942.1,1941,1997.95,1938.55,1996,1993.65,1980.19
HDFC,EQ,20-May-19,1993.65,2030.5,2135.5,2030,2120.05,2122.5,2093.43
HDFC,EQ,21-May-19,2122.5,2141.2,2178.9,2104.1,2118,2114.5,2145.11
HDFC,EQ,22-May-19,2114.5,2124,2155.2,2119,2141.55,2138.8,2138.55
HDFC,EQ,23-May-19,2138.8,2174,2210,2103.3,2128.95,2114.4,2168.72
HDFC,EQ,24-May-19,2114.4,2125,2151.9,2095,2123,2123.4,2120.74
HDFC,EQ,27-May-19,2123.4,2129.95,2187.5,2116.2,2159.3,2165.3,2161.74
HDFC,EQ,28-May-19,2165.3,2167,2169.75,2114,2158,2147.85,2140.11
HDFC,EQ,29-May-19,2147.85,2150.1,2170,2135,2144,2147.45,2150.97
HDFC,EQ,30-May-19,2147.45,2141.4,2189.45,2130,2179.1,2184.4,2169.63
HDFC,EQ,31-May-19,2184.4,2190,2197,2140.05,2184,2182.65,2180.23
HDFC,EQ,3-Jun-19,2182.65,2200,2235,2192.7,2230.35,2230.45,2217.73
HDFC,EQ,4-Jun-19,2230.45,2220,2233.9,2209,2229.15,2223.95,2222.85
HDFC,EQ,6-Jun-19,2223.95,2230,2231,2171.65,2184,2183.45,2200.67
